OCLC #,Title,Author,Language,Item type,Publication,Publisher,Year,Database,Notes,Added date
97269158,"Interview - Professor Owen Gingerich, Harvard-Smithsonian Center for Astrophysics",,English,artchap_artcl,"Astronomy. 32, no. 5, (2004): 22","Milwaukee, Wis. : AstroMedia Corp.,",2004.0,,,2012-08-24 07:18
45390924,Galactic Supernova Remnants (SNRs): Summary X-Ray Data,,English,book_digital,,,,,,2012-08-24 07:18
463252360,Space for women : perspectives on careers in science.,Harvard University. Center for Astrophysics.; Radcliffe College.; Smithsonian Institution.;,English,book,,"Washington, D.C. : Smithsonian Institution",1975.0,,,2012-08-24 07:18
49588523,Smithsonian Astrophysical Observatory,Smithsonian Astrophysical Observatory.; Harvard College Observatory.; Harvard-Smithsonian Center for Astrophysics.;,English,book_digital,,"Cambridge, Mass. : Harvard-Smithsonian Center for Astrophysics",2001.0,,,2012-08-24 07:18
45378313,Chandra Finds A Cool Black Hole at the Heart of the Andromeda Galaxy,,English,book_digital,,,,,,2012-08-24 07:18
53291499,The NASA astrophysics data system : overview,M  J Kurtz; Harvard-Smithsonian Center for Astrophysics.; Harvard College Observatory.; Smithsonian Astrophysical Observatory.; et al,English,book,,"Cambridge, Mass. : Harvard-Smithsonian Center for Astrophysics",2000.0,,,2012-08-24 07:18
50080128,CHANDRA: The Man Behind the Name,,English,book_digital,,,,,,2012-08-24 07:18
49423844,Chandra Associates Pulsar and Historic Supernova.,,English,book_digital,,,,,,2012-08-24 07:18
45390940,High-Z Supernovae (SN) Search,,English,book_digital,,,,,,2012-08-24 07:18
48380353,AXAF Science Center : science mission operations plan,Smithsonian Astrophysical Observatory.; George C. Marshall Space Flight Center.; Harvard-Smithsonian Center for Astrophysics. AXAF Science Center.;,English,book,,"Cambridge, Mass. : Smithsonian Institution Astrophysical Observatory",1993.0,,,2012-08-24 07:18
53291516,The NASA astrophysics data system : architecture,A Accomazzi; Harvard-Smithsonian Center for Astrophysics.; Harvard College Observatory.; et al,English,book,,"Cambridge, Mass. : Harvard-Smithsonian Center for Astrophysics",2000.0,,,2012-08-24 07:18
302392773,IYA Resources from the Harvard-Smithsonian Center for Astrophysics,E L Reinfeld; M E Dussault; S J Steel; R R Gould; M Schnepps,English,artchap_artcl,"ASTRONOMICAL SOCIETY OF THE PACIFIC CONFERENCE SERIES, 400, (2008): 285-287",,2008.0,,,2012-08-24 07:18
53291510,The NASA astrophysics data system : the search engine and its user interface,G Eichhorn; Harvard-Smithsonian Center for Astrophysics.; Smithsonian Astrophysical Observatory.; Harvard College Observatory.; et al,English,book,,"Cambridge, Mass. : Harvard-Smithsonian Center for Astrophysics",2000.0,,,2012-08-24 07:18
4437126337,Analysis of extreme-ultraviolet observations of a polar coronal hole,J T Mariska; Harvard-Smithsonian Center for Astrophysics,English,artchap_artcl,Astrophys. J. v225:1 (1978 Oct 01): 252-258,,1978.0,,,2012-08-24 07:17
586002590,"Essential science for teachers, life science : an eight-part professional development course for K-6 science teachers",Harvard-Smithsonian Center for Astrophysics. Science Media Group.; Annenberg/CPB.; Harvard University.;,English,book,,"S. Burlington, Vt. : Annenberg/CPB",2004.0,,,2012-08-24 07:17
715311923,Harvard-Smithsonian Center for Astrophysics preprint series.,"Smithsonian Astrophysical Observatory (Cambridge, Mass.);",English,jrnl,,Cambridge Mass. : Harvard-Smithsonian Center for Astrophysics.,,,,2012-08-24 07:17
4433095303,"Appearance, number, and history of highly compact binary systems in globular clusters",J H Krolik; Harvard-Smithsonian Center for Astrophysics,English,artchap_artcl,Astrophys. J. v282:2 (1984 Jul 15): 452-465,,1984.0,,,2012-08-24 07:17
232381125,"Astrophysics of planetary systems : third Harvard-Smithsonian Conference on Theoretical Astrophysics, May 17-May 20, 2004",Harvard-Smithsonian Center for Astrophysics.;,English,video_vhs,,,,,,2012-08-24 07:17
300478556,NASA astrophysics data system,Harvard-Smithsonian Center for Astrophysics.; États-Unis. National Aeronautics and Space Administration.;,English,book_digital,,"[Washington, D.C.] : Cambridge, Mass. : NASA ; Harvard-Smithsonian Center for Astrophysics",199?,,,2012-08-24 07:17
4435276077,Nonaxisymmetric baroclinic instability in thin accretion disks,W Cabot; Harvard-Smithsonian Center for Astrophysics,English,artchap_artcl,Astrophys. J. v277:2 (1984 Feb 15): 806-812,,1984.0,,,2012-08-24 07:17
4433992498,Rapid oscillations in cataclysmic variables. VI. Periodicities in erupting dwarf novae,J Patterson; Harvard-Smithsonian Center for Astrophysics,English,artchap_artcl,"Astrophys. J., Suppl. Ser. v45:3 (1981 Mar 01): 517-539",,1981.0,,,2012-08-24 07:17
49973839,"Harvard-Smithsonian Center for Astrophysics, the history of astronomy in America online : roll film scanning project.","Preservation Resources (Bethlehem, Pa.); Harvard-Smithsonian Center for Astrophysics.;",English,book,,"Bethlehem, PA : Preservation Resources",2001.0,,,2012-08-24 07:17
232381033,The first Harvard-Smithsonian Conference on Theoretical Astrophysics : the first generation of cosmic structures,Harvard-Smithsonian Center for Astrophysics.;,English,video_vhs,,,,,,2012-08-24 07:17
42924921,Preprint abstracts,Harvard-Smithsonian Center for Astrophysics.,English,jrnl,,"Cambridge, Mass. : Harvard-Smithsonian Center for Astrophysics.",,,,2012-08-24 07:17
57737949,The first Harvard-Smithsonian Conference on Theoretical Astrophysics : the first generation of cosmic structures,Harvard-Smithsonian Center for Astrophysics.;,English,audiobook_cassette,,,,,,2012-08-24 07:17
52587024,Principles for principals : individual program descriptions.,Harvard-Smithsonian Center for Astrophysics.; Annenberg Institute for School Reform.; Annenberg/CPB.;,English,book_digital,,,,,,2012-08-24 07:17
756219582,"Second Cambridge Workshop on Cool Stars, Stellar Systems, and the Sun : 21-23 October 1981, Harvard-Smithsonian Center for Astrophysics, Cambridge, MA 02138",M  S Giampapa; L Golub; Smithsonian Institution.;,English,book,,"[Cambridge, Mass. : Smithsonian Institution]",1982.0,,,2012-08-24 07:17
70143619,"Science in focus : Energy. / workshop 4, Energy in cycles",Harvard-Smithsonian Center for Astrophysics. Science Media Group.; Annenberg/CPB.;,English,video_vhs,,"S. Burlington, VT : Annenberg/CPB",2002.0,,,2012-08-24 07:17
232380950,Principles for in the line of fire : the challenges of authentic leadership,Harvard-Smithsonian Center for Astrophysics. Science Media Group.; Annenberg/CPB Project.;,English,video_vhs,,"[Cambridge, Mass.] : Science Media Group, Harvard-Smithsonian Center for Astrophysics ; [Providence, R.I.] : Annenberg Institute for School Reform at Brown University",1999.0,,,2012-08-24 07:17
70143620,"Science in focus : Energy. / workshop 6, Energy and systems",Harvard-Smithsonian Center for Astrophysics. Science Media Group.; Annenberg/CPB.;,English,video_vhs,,"S. Burlington, VT : Annenberg/CPB",2002.0,,,2012-08-24 07:17
439296564,Fun in the sun : introduction to the sun activities,Harvard-Smithsonian Center for Astrophysics. High Energy Astrophysics Division.;,English,compfile_digital,,[S.l. : s.n,199-,,,2012-08-24 07:17
